Nom du site,Categorie,Baignade surveillee,Adresse,Code Postal,Ville,Numero de telephone,Longitude,Latitude
Base nautique de l'Huveaune,Bases nautiques,non concerne,109 avenue Pierre Mendes France,13008,Marseille,04 91 76 54 42,5.37640406188655,43.2610858008471
Base Nautique Corbieres,Bases nautiques,non concerne,250 plage de l'Estaque,13016,Marseille,04 91 46 19 37,5.29325460644975,43.3587191273511
Base Nautique du Roucas Blanc,Bases nautiques,non concerne,2 promenade Georges Pompidou,13008,Marseille,04 91 29 30 40,5.3713340457629,43.2668726969215
Base Nautique de Pointe Rouge,Bases nautiques,non concerne,Port de la pointe Rouge,13008,Marseille,04 91 73 74 23,5.37091765115815,43.244461927014
Plage Borely,Plages,oui,,13008,Marseille,,5.37506000015355,43.2559786244047
Plage de David,Plages,oui,,13008,Marseille,,5.3722528605062,43.2616478494178
Plage du Grand Roucas,Plages,oui,,13008,Marseille,,5.37088536989978,43.2633690603804
Plage de l'Huveaune,Plages,oui,,13008,Marseille,,5.37559698232504,43.2585582353874
Plage de Bonneveine,Plages,oui,,13008,Marseille,,5.37476324131846,43.2535186338597
Plage de la Vieille Chapelle,Plages,oui,,13008,Marseille,,5.37373474981852,43.2499885007352
Plage de la Pointe Rouge,Plages,oui,,13008,Marseille,,5.37091765115815,43.244461927014
Bain des Dames,Plages,non,,13008,Marseille,,5.36262807618958,43.2410821250684
Anse des Phoceens,Plages,non,,13008,Marseille,,5.36228729104585,43.2396951635594
Anse des Sablettes (plage du Colombet),Plages,non,,13008,Marseille,,5.36087282068946,43.2375354060044
Bonne Brise (Verrerie),Plages,non,,13008,Marseille,,5.35996099433288,43.2365510884034
Les Goudes,Plages,non,La Marronaise,13008,Marseille,,5.3429912424213,43.214730877663
Sormiou,Plages,oui,,13009,Marseille,,5.42019475514794,43.2101648803907
Morgiou,Plages,non,,13009,Marseille,,5.44377162739181,43.2122095870382
En Vau,Plages,non,,13009,Marseille,,5.498215756739,43.2018744996565
Port Pin,Plages,non,,13009,Marseille,,5.51065996594841,43.2038931719818
Plage du Prophete,Plages,oui,,13007,Marseille,,5.36230286692741,43.2730845794453
Plage Les Catalans,Plages,oui,,13007,Marseille,,5.35514193946609,43.2905435468172
Plage de Corbiere La Lave,Plages,oui,,13016,Marseille,,5.29295423151654,43.3583847326194
Plage de Corbiere Fortin,Plages,oui,,13016,Marseille,,5.29122633001818,43.3576373840842
Plage du Petit Roucas,Plages,oui,,13008,Marseille,,5.36861869776039,43.2638804658938
Corbiere Batterie,Plages,oui,,13016,Marseille,,5.2918328103947,43.3584231224208
Frioul Saint Esteve,Plages,oui,,13007,Marseille,,5.31579124969699,43.2842320192919
